sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_species_fraction_colu,aim_species_fraction_arab,aim_species_gambcolu_arabiensis,aim_species_gambiae_coluzzii,aim_species,country_iso,admin1_name,admin1_iso,admin2_name,taxon,cohort_admin1_year,cohort_admin1_month,cohort_admin2_year,cohort_admin2_month,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AA0044-C,Takoradi_D10,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.972,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-76.89176,2.4950738,1.5302619,-5.994911,26.036825,-11.744009,28.311562,14.969761,-27.047184,3.7662578
AA0105-C,Koforidua_D3,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.024,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,119.388916,-14.725878,8.9004965,51.240604,-2.9246125,-38.362434,5.4337525,-101.29099,7.7618914,127.844
AA0070-C,Koforidua_B4,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.019,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,175.34283,-186.61818,331.4131,-211.20905,15.381785,13.085427,-3.600775,-5.047193,2.8363082,17.770798
AA0075-C,Twifo_Praso__F1,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.972,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-68.04785,-2.0503106,1.5645245,-3.4299932,11.362969,0.68032354,47.476025,-7.990879,-38.19076,104.601
AA0041-C,Twifo_Praso__H3,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.973,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-71.128784,0.41435683,1.6656408,-1.2951573,24.469435,3.6473246,-78.03021,14.347832,-27.684332,39.53612
AA0042-C,Takoradi_C7,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-68.77772,1.3745209,0.43498546,-7.4718876,22.274181,6.761354,-25.726301,9.942184,27.62046,-25.235273
AA0114-C,Takoradi_F8,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.977,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-73.434586,1.661324,1.9678549,-6.5019197,10.309397,11.934273,3.695598,-8.6847315,0.44047555,-4.8149343
AA0126-C,Takoradi_G8,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.955,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-71.34659,0.1691433,-4.0485835,-3.861914,14.726149,2.477497,-28.719658,-6.36809,-35.203873,19.197378
AA0093-C,Koforidua_C3,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.026000000000000002,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,121.11452,-15.476997,-33.46414,28.534498,-6.805573,-62.068405,-9.563707,-39.808197,5.1958146,-15.318898
AA0123-C,Twifo_Praso__D2,David Weetman,Ghana,Twifo Praso,2012,9,5.609,-1.5490000000000002,F,AG1000G-GH,3.0,0.968,0.002,gamb_colu,coluzzii,coluzzii,GHA,Central,GH-CP,Twifu Heman/Lower Denkyira,coluzzii,GH-CP_colu_2012,GH-CP_colu_2012_09,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012,GH-CP_Twifu-Heman-Lower-Denkyira_colu_2012_09,-72.74379,1.8882151,1.1346838,-2.989748,19.540974,-0.99399394,88.03331,13.769365,-245.84886,-37.35432
AA0054-C,Takoradi_E7,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.975,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-65.89983,-0.3759554,1.8450879,0.5979412,31.576931,2.945512,-34.309563,18.782364,22.000921,-50.24609
AA0128-C,Takoradi_H11,David Weetman,Ghana,Takoradi,2012,8,4.912,-1.774,F,AG1000G-GH,3.0,0.976,0.002,gamb_colu,coluzzii,coluzzii,GHA,Western,GH-WP,Shama Ahanta East,coluzzii,GH-WP_colu_2012,GH-WP_colu_2012_08,GH-WP_Shama-Ahanta-East_colu_2012,GH-WP_Shama-Ahanta-East_colu_2012_08,-66.28173,1.2170408,-0.24377756,-3.3061054,22.504417,3.8232422,-16.44514,5.7602396,-10.876134,-1.1283824
AA0129-C,Koforidua_F3,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.022000000000000002,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,126.28623,-19.624107,-2.9220853,57.620182,-4.799816,-60.86341,-10.381393,-168.69063,-5.4369993,74.25789
AA0094-C,Koforidua_E4,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.057999999999999996,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,98.843346,-24.424425,21.121094,27.769361,-5.4718513,-12.393633,27.077942,48.079655,-14.348683,-59.232952
AA0118-C,Koforidua_B5,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.024,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,108.346176,-12.40975,-11.792994,54.27849,-6.8560963,-67.66023,-6.9241943,-40.20745,-1.2840859,31.585009
AA0071-C,Koforidua_G5,David Weetman,Ghana,Koforidua,2012,11,6.093999999999999,-0.261,F,AG1000G-GH,3.0,0.064,0.002,gamb_colu,gambiae,gambiae,GHA,Eastern,GH-EP,New Juaben,gambiae,GH-EP_gamb_2012,GH-EP_gamb_2012_11,GH-EP_New-Juaben_gamb_2012,GH-EP_New-Juaben_gamb_2012_11,102.24808,0.37380254,-8.001291,14.0963955,-2.9038005,-42.286644,-5.6714244,-51.325977,-10.040105,2.9440506
