sample_id,country_ISO,adm1_name,adm1_ISO,adm2_name,taxon,cohort_admin1_year,cohort_admin1_month,cohort_admin1_quarter,cohort_admin2_year,cohort_admin2_month,cohort_admin2_quarter
VBS46001-6296STDY10244555,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46002-6296STDY10244556,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46003-6296STDY10244557,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46004-6296STDY10244558,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46006-6296STDY10244560,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46007-6296STDY10244561,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46008-6296STDY10244562,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46009-6296STDY10244563,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46010-6296STDY10244564,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46011-6296STDY10244565,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46012-6296STDY10244566,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46013-6296STDY10244567,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46014-6296STDY10244568,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46016-6296STDY10244570,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46017-6296STDY10244571,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46019-6296STDY10244573,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46020-6296STDY10244574,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46021-6296STDY10244575,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46022-6296STDY10244576,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46025-6296STDY10244579,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46026-6296STDY10244580,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46027-6296STDY10244581,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46028-6296STDY10244582,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46029-6296STDY10244583,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46030-6296STDY10244584,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46031-6296STDY10244585,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46032-6296STDY10244586,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46033-6296STDY10244587,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46034-6296STDY10244588,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46035-6296STDY10244589,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46036-6296STDY10244590,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46037-6296STDY10244591,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46038-6296STDY10244592,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46039-6296STDY10244593,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46040-6296STDY10244594,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46041-6296STDY10244595,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46043-6296STDY10244597,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46044-6296STDY10244598,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46045-6296STDY10244599,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46046-6296STDY10244600,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46047-6296STDY10244601,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46048-6296STDY10244602,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46049-6296STDY10244603,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46051-6296STDY10244605,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46052-6296STDY10244606,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46053-6296STDY10244607,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_05,TH-84_Phanom_diru_2019_Q2
VBS46054-6296STDY10244608,THA,Surat Thani Province,TH-84,Khiri Rat Nikhom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Khiri-Rat-Nikhom_diru_2019,TH-84_Khiri-Rat-Nikhom_diru_2019_05,TH-84_Khiri-Rat-Nikhom_diru_2019_Q2
VBS46055-6296STDY10244609,THA,Surat Thani Province,TH-84,Khiri Rat Nikhom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Khiri-Rat-Nikhom_diru_2019,TH-84_Khiri-Rat-Nikhom_diru_2019_05,TH-84_Khiri-Rat-Nikhom_diru_2019_Q2
VBS46056-6296STDY10244610,THA,Surat Thani Province,TH-84,Khiri Rat Nikhom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Khiri-Rat-Nikhom_diru_2019,TH-84_Khiri-Rat-Nikhom_diru_2019_05,TH-84_Khiri-Rat-Nikhom_diru_2019_Q2
VBS46057-6296STDY10244611,THA,Surat Thani Province,TH-84,Khiri Rat Nikhom,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Khiri-Rat-Nikhom_diru_2019,TH-84_Khiri-Rat-Nikhom_diru_2019_05,TH-84_Khiri-Rat-Nikhom_diru_2019_Q2
VBS46060-6296STDY10244614,THA,Surat Thani Province,TH-84,Tha Chang,dirus,TH-84_diru_2019,TH-84_diru_2019_05,TH-84_diru_2019_Q2,TH-84_Tha-Chang_diru_2019,TH-84_Tha-Chang_diru_2019_05,TH-84_Tha-Chang_diru_2019_Q2
VBS46061-6296STDY10244615,THA,Surat Thani Province,TH-84,Tha Chang,dirus,TH-84_diru_2019,TH-84_diru_2019_01,TH-84_diru_2019_Q1,TH-84_Tha-Chang_diru_2019,TH-84_Tha-Chang_diru_2019_01,TH-84_Tha-Chang_diru_2019_Q1
VBS46063-6296STDY10244617,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_06,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_06,TH-84_Phanom_diru_2019_Q2
VBS46064-6296STDY10244618,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_06,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_06,TH-84_Phanom_diru_2019_Q2
VBS46065-6296STDY10244619,THA,Surat Thani Province,TH-84,Phanom,dirus,TH-84_diru_2019,TH-84_diru_2019_06,TH-84_diru_2019_Q2,TH-84_Phanom_diru_2019,TH-84_Phanom_diru_2019_06,TH-84_Phanom_diru_2019_Q2
